Localization Keys	english	czech
legend_panel4_yapp	Yapp Dollar would destroy the market	Yapp Dollar by zničil trh
legend_panel4_smurfcat	and Smurf cat would devastate the land.	a Smurf cat by devastoval krajinu.
legend_panel4_rotten	Now with only it's rotten roots...	Nyní s hnijícími kořeny...
legend_panel4_lastdays	would the nation see it's last days.	by národ zažil jeho poslední dny.
legend_panel5_religion	But thanks to their beliefs...	Ale díky jejich víře...
legend_panel5_god	would three Treeists appear on the side of god.	se tři Stromovci objevili na straně boha.
legend_characters_rabbitek	ONE WANTED TO BE A POLITICIAN	JEDEN CHTĚL BÝT POLITIK
legend_characters_xdaforge	THE OTHER ONE A POLICEMAN	DRUHÝ ZAS POLICISTA
legend_characters_gertofin	AND THE THIRD JUST WANTED TO BE RICH	A TŘETÍ CHTĚL BÝT PROSTĚ BOHATEJ
legend_panel6_treefall	Only they can prevent the Tree's fall	Jen oni mohou zabránit Stromovskému pádu
legend_panel6_balance	and keep their nation from destruction.	a udržet národ v rovnováze.
legend_panel6_treegrow	Only then can WMT grow again	Jen poté může WMT znovu růst
legend_panel6_revolution	and the world spared from complete annihilation.	a svět může být zachráněn od krutosti revolucionářů.
legend_panel7_mayor	Last week Honzraj:\nmayor of Larchgrad	Minulý týden Honzraj: starosta Modřína,
legend_panel7_punishment	presented a lenient offer for the Smurf cats.	navrhl mírnější trest pro Smurf caty.
legend_panel7_lost	Offer to improve their releations after the wars...	Ti prohráli války, které začaly kvůli jejich víře.
legend_panel8_fired	However, he was accused of treason and lost his title.	Poté co tak řekl, byl obviněn z velezrady a ztratil svůj titul.
choosecharacter_notice_pressenter	(to continue reading, press ENTER)	(pokud chceš číst dál, zmáčkni enter)
choosecharacter_notice_moveleaf	(move with arrows on your keyboard, then confirm with ENTER)	(pohybuj se pomocí šipek na klávesnici, potvrď s enter)
choosecharacter_prechoose_gift	Here's my gift.	Zde je můj dar.
choosecharacter_prechoose_changeworld	With it you can undoubtably change my world.	Díky němu můžeš měnit tento svět.
choosecharacter_prechoose_nochance	Because you need a body for your leaf,{p} choose it.	Protože bez těla nemáš šanci přežít{p}, nějaké si vyber.
choosecharacter_choose_name	How should they call you?	Napiš, jak ti budou říkat.
choosecharacter_name_treeist	NAME THE PROPHET	POJMENUJ STROMOVCE
choosecharacter_namereaction_canonname	What a coincidence...	Zajímavá náhoda...
choosecharacter_namereaction_confusing	That could be confusing! (press enter again)	To by bylo matoucí! (stiskni znovu enter)
choosecharacter_namereaction_programmer	Your the being that built the logic of this world?	Ty píšeš kód, který tvoří tento svět?
choosecharacter_namereaction_god	You shall not speak of my name! (press enter again)	Mé jméno nosit nebudeš! (stiskni znovu enter)
choosecharacter_namereaction_novisiblesymbols	What name I don't see anything! (press enter again)	Jméno musí být vidět! (stiskni znovu enter)
choosecharacter_namereaction_brackets	Prohibited characters detected! (press enter again)	Bez hr. a sl. závorek! (stiskni znovu enter)
choosecharacter_postchoose_sayname	{name}...	{name}...
choosecharacter_postchoose_onemorething	There's just one more thing...	Ještě nám zbývá jedna věc...
choosecharacter_postchoose_givebook	This sacred book is neccessary for my gift.	Tato posvátná kniha je nezbytná k mému daru.
choosecharacter_finish_goodbad	I don't care if it's used for good or evil...	Jestli jej využiješ k dobru či zlu, je mi jedno.
choosecharacter_finish_terror	I only want you to banish the Blue terror...	Chci jen, aby ses zbavil Modrého teroru...
choosecharacter_finish_destroy	...to destroy Smurf Cats once and for all.	...aby jsi zničil Smurf Caty jednou a navždy.
choosecharacter_finish_lies	In order to stop the spread of their lies.	K tomu aby skončilo šíření jejich lží...
choosecharacter_finish_prepared	{p}...looks like everything's ready.	{p}...vypadá to, že už máme všechno připravené.
choosecharacter_finish_goodluck	Good luck!	Hodně štěstí!
errorhandler_room_title	SOMETHING BROKE	NĚCO SE POKAZILO
errorhandler_room_description	Room ID {roomID} ({extraInfo})	Room ID {roomID} ({extraInfo})
errorhandler_extrainfo_savecorrupted	corrupted json savefile	nesprávně zapsaný json
errorhandler_extrainfo_onload	upon load	při načtení
SpawnObject_SPAWNROOM_only	Here lies the beginning of a great journey...{p} nothing else to note.	Zde je začátek tvé cesty...{p} není to jinak ničím zajímavé...
Mushroom_SPAWNROOM_1_1	You curiously look at a mushroom emitting blue light...	Pozoruhodně hledíš na houbu vydávací modré světlo...
Mushroom_SPAWNROOM_1_2	You feel as if...{p} you have some kind of connection with it...{p} but you don't know why.	Máš pocit, že něco o ní cítíš...{p} že ti je povědomá...{p} ale nevíš proč.
Mushroom_SPAWNROOM_2_1	You could finally decide...	Mohl by jsi se rozhodnout...
PurpleTree_SPAWNROOM_1_1	The tree's observing the sorrounding area...	Purpurový strom hledí bezcitně na okolní krajinu...
PurpleTree_SPAWNROOM_1_2	You felt as if you shouldn't interupt it...	Tvou mysl naplnili moudré myšlenky...
PurpleTree_SPAWNROOM_outofinteract	The tree doesn't have any time to spare...	Strom nemá čas si s tebou povídat...
BlockTree_SPAWNROOM_1_1	It blocks you a way to something...{p} {#glow_mushroom}glowing{#/}?	Vypadá to, že tento strom ti blokuje cestu k něčemu co {#glow_mushroom}modře září{#/}...
BlockTree_SPAWNROOM_1_2	You have a feeling there's a way to get to the other side.	Možná by jsi ho mohl nějak obejít?
BlockTree_SPAWNROOM_NoLight_1	The tree blocked some path...{p} but there's no point in going back there.	Tenhle strom blokoval nějakou cestu...{p} ale ty už jsi život od ní vzal...
InteractionPrompt_SPAWNROOM_1_1	(Reminder to press {#tree_green}ENTER or Z{#/} if you see something {#glow_mushroom}interesting{#/}.)	(Nezapoměň, že když uvidíš něco {#glow_mushroom}zajímavého{#/}, můžeš se k tomu přiblížit a zmáčknout {#tree_green}ENTER či Z{#/}.)
Pedestal_SPAWN_ENTERANCE_1_1	It's some kind of stone object.{p} You look closer and see some text written on it.	Je to nějaký posvátný kamenný objekt.{p} Podíváš se na něj pozorněji a vidíš, že je na něm něco napsáno.
Pedestal_SPAWN_ENTERANCE_1_2	Do you want to read what is written on there?	Chceš si přečíst co se tam píše?
Pedestal_SPAWN_ENTERANCE_outofinteract	You see that there's something written there.{p} Read it?	Vidíš, že je tam něco napsáno.{p} Chceš si to přečíst?
PedestalText_intro	{name}	{name}
PedestalText_xdaforge_1	"Quiet shield of the Treeist nation,{p} which can stop the destruction of the Holy confederacy...	"Tichý štít Stromovského národa,{p} jenž dokáže zastavit absolutní zničení Svaté konfederace...
PedestalText_xdaforge_2	Sharp weapon of the nation,{p} which can defeat it's enemy, even if everything seems to be lost.	Ostrá zbraň Stromovského národa,{p} která dokáže porazit nepřítele, i když se zdá, že je vše ztraceno...
PedestalText_rabbitek_1	"Holy voice of the Treeist nation,{p} which can unite the people against their enemies...	"Svatý hlas Stromovského národa,{p} který dokáže spojit všechen lid proti nepříteli...
PedestalText_rabbitek_2	The root of the nation,{p} which can return stability even in the worst of times...	Živý kořen Stromovského národa,{p} jenž dokáže vrátit stabilitu národa v nejhorším...
PedestalText_gertofin_1	"Helpful hand of the Treeist nation,{p} which can finance the most important of operations...	"Pomocná ruka Stromovského národa,{p} která dokáže financovat záchranné operace...
PedestalText_gertofin_2	A hidden eye of the nation,{p} which controls the nation like a puppetmaster.	Skryté oko Stromovského národa,{p} které se svémi strunami chrání stát...
PedestalText_end	He gets summoned, once the Blue terror is ignited...{0.3} when another war begins to bubble."	Přijde jen tehdy, když ho moudrý strom vyvolá...{0.75} až vzplane Modrý teror...{0.3} až začne další válka..."
Leaves_SPAWN_ENTERANCE_only	It's just a regular pile of leaves...	Je to jen nějaká běžná hromada listí...
TeleportTree_SPAWN_TELEPORT_1_1	There's something you must get first, before knowing this tree's true nature...	Vypadá to, že něco budeš muset získat, než tento strom doopravdy pochopíš...
TeleportTree_SPAWN_TELEPORT_outofinteract	You don't feel like 'you',{p} when around this tree.	Jsi 'nesvůj' když chodíš okolo tohoto...{p} 'stromu'.
BlueCampfire_SPAWN_TELEPORT_1_1	This fire is glowing with a strange blue light.{p} Seems like you don't even question it because everything else here is weird.	Tenhle oheň svítí studenou modrou barvou...{p} vzhledem toho jak je divnej zbytek lesa, tohle tě moc nepřekvapuje.
BlueCampfire_SPAWN_TELEPORT_1_2	Interestingly, the fire is quite big even though nobody is around.	Zajímavé je ale, že ten oheň je stále velký, i když zde ted nikdo není.
BlueCampfire_SPAWN_TELEPORT_outofinteract	You can't help yourself to not stare at it's blue light.	Tvé oči nechtějí se přestat dívat na to modré světlo.
BrokenSign_SPAWN_ENTERANCE_1_1	It's some kind of navigational sign...{p} there's an arrow pointing to {#purple}somewhere{#/}...	Je to nějaká navigační cedule... {p}dole je vyzobrazená šipka směřující k něčemu {#purple}podivuhodnému{#/}...
BrokenSign_SPAWN_ENTERANCE_1_2	There's a feeling that you shouldn't go down there...	Z nějakého důvodu si nemyslíš, že je dobrý nápad tam dolů jít...
BrokenSign_SPAWN_ENTERANCE_2_1	...but maybe something in you clashes with that feeling...	...tvá zvědavost ale nesouhlasí...
FallenTree_LILYPADROOM_1_1	A once alive tree...{p} has fallen to it's demise.	Tehdá zdravý strom, {p} spadl do jeho absolutního konce.
FallenTree_LILYPADROOM_1_2	When they had the opportunity to do so...{p} the {#glow_mushroom}mushrroms{#/} conquered the tree and banished it's legacy forever.	Když měly {#glow_mushroom}houby{#/} možnost... {p}obsadili strom a zničili jej.
FallenTree_LILYPADROOM_1_3	...but if it would be rescued fast enough...{p} none of this would happen.	...avšak když by byl rychle zachráněn...{p} nic takového by se nestalo.
FallenTree_LILYPADROOM_2_1	Out of respect... you don't want to interact with the tree no more.	Asi není dobrý nápad nadále interaktovat se zchátralým stromem...
SmallBranch_LILYPADROOM_1_1	Looks like there is a tree branch that's blocking your way...	Vypadá to, že je tady nějaká větev co tě blokuje cestu...
SmallBranch_LILYPADROOM_1_2	But there doesn't seem to be anything important there...	Nemyslíš si, ale že by tam bylo něco důležitého...
LilypadFlower_LILYPADROOM_only	I don't think this is time for reading...	Nemyslím si, že tohle je dobrý čas ke čtení textu...
StreetLamp_WEIRDFOREST_only	Near this lamp you feel that you can see your leaf shining even more...	Blízko téhle lampy cítíš jako kdyby se tvůj dar blízkal ještě více...
BigBranch_LILYPADROOM_only	This way is blocked by this tree branch.{p} Looks like you must go by the lilypads.	Tahle cesta je zablokována touto větví... {p}vypadá to že, musíš jít přes lekníny...
CemetaryGate_GATEROOM_only	It's locked.	Je to zamčené.
Cutscene_CemetaryGate_1	Warriors of the Blue terror are buried here.	Vojáci Modrého teroru jsou zde pohřbeni.
Cutscene_CemetaryGate_2	Many failed rebels lie behind this gate.	Neúspěšní rebelové leží za touto branou.
Cutscene_CemetaryGate_3	If you wish to get in, you must obtain a key.	Pokud si přeješ jít dál, musíš obdržet klíč.
Cutscene_CemetaryGate_4	It's in possession of a tricky squirrel.	Nyní jej drží jedna zákeřná veverka.
Cutscene_CemetaryGate_5	Obtain it and return here once again.	Obdrž klíč a znovu se sem vrať.
GameOver_Option_Continue	Go Back	Vrať se zpět
GameOver_Option_ResetBattle	Reset Battle	Resetuj bitvu
GameOver_Comment_1_1	The cycle continues.	Cyklus nadále pokračuje.
GameOver_Comment_2_1	Very interesting.	Velmi podivuhodné.
GameOver_Comment_3_1	The glow of the leaf faded.	Veškerá zář z tvého listu zmizela...
GameOver_Comment_4_1	Your inputs caused termination.	Tvé vstupy vedli k terminaci listu...
GameOver_Comment_5_1	It disintegrated again.	Znovu se to rozpadlo.
GameOver_Comment_6_1	Neutral networks train on failure.	Neuronové sítě trénují na selhání.
GameOver_Comment_7_1	Another severed connection.	Další přerušené spojení.
GameOver_Comment_8_1	All gifts meet their ends.	Všechny dary spatří jejich konce.
GameOver_FirstDeath_1	Your leaf disintegrated.	Tvůj list se rozpadl.
GameOver_FirstDeath_2	You severed the connection to this world.	Odpojil jsi tvé spojení k tomuto světu.
GameOver_FirstDeath_3	{1}Fortunetly, there exists a solution...	{1}Naštěstí jsem našel řešení...
GameOver_FirstDeath_4	Your book that I gave you is intact,{p} isn't it?	Ta kniha co jsi obdržel nám pomůže.
GameOver_FirstDeath_5	The place you last prayed to is our anchor.	Vím místo, kde sis naposledy uložil hru.
GameOver_FirstDeath_6	I can take you back to that point.	Mohu tě vrátit zpět do tohoto bodu.
Candle_SAVEINTROROOM_only	It looks like the candles are used for some kind of a religionous event.	Nejspíš to jsou nějaké svíčky použité k nějaké náboženské události.
OverworldSaving_SaveGame	Save Game	Ulož Hru
OverworldSaving_DontSave	Don't Save	Neukládej
SavePoint_Beehive_only	Your eyes skim the pages of your book.{p} The scent receptors in your nose provide you with a sweet aroma.	Tvé oči létají přes strany tvé knihy.{p} Pachové receptory v tvém nosu tě přináší sladké aroma.
SavePoint_end_first_time	When you pray to {#tree_green}the Tree{#/}, your game is saved.{p} Do you want to do so?	Když se modlíš ke {#tree_green}Stromu{#/}, tvá hra je uložena. {p} Chceš tak udělat?
SavePoint_end	Do you wish to save your game?	Přeješ si uložit hru?
BeehiveRegular_SAVEINTROROOM_only	The bees in this beehive are living peacefully.	Včely v tomhle úlu žijí mírumilovně.
BlueBeehive_SAVEINTROROOM_only	The bees in this beehive are playing some {#blue_fire}FIRE{#/} music.	Včely v tomhle úlu si pouští nějakou {#blue_fire}FIRE{#/} hudbu.
BibleInteractPrompt_SAVEINTROROOM_1_1	Maybe it would be a good idea to interact with the {#holy_yellow}book{#/} first, before going further into the forest.	Myslíš si, že bys nejdříve si měl prohlédnout tu {#holy_yellow}knihu{#/} než půjdeš dál do lesa.
BibleInteractPrompt_SAVEINTROROOM_outofinteract	...{p} there's a something that won't let you go.	...{p} cítíš se jako tě něco nepovoluje tu knihu přeskočit.
BibleInteractPrompt_SAVEINTROROOM_SaveRefused_only	Maybe you should try to {#holy_yellow}pray to the book{#/} before you continue.	Možná by jsi se měl {#holy_yellow}pomodlit k té knize{#/}, než budeš dál pokračovat.
DetailedTree_SAVEINTROROOM_only	There's something hiding in the tree...{p} unfortunetly you can't tell what.	Něco se skrývá v tomto stromě...{p} ale bohužel nedokážeš zjisit co to je.
OverworldSaving_GameSavedConfirm	GAME WAS SUCCESSFULLY SAVED!	HRA BYLA ÚSPĚŠNĚ ULOŽENA!
Cutscene_Nixie_Introductory_TreeSaveDialog	Very interesting.{1} It looks like you used the book!	Velmi zajímavé.{1} Vypadá to, že jsi už využil tu knihu!
AttackMessage_MISS	0	0
Cutscene_Character_Dialog_Tester_1	dokgodfgkodfokgkodfgokdfpkgodopgkpodgkpo	jmigjidfijgdfjiogjidfgjiodfojigojidgoijidofjg
Cutscene_Character_Dialog_Tester_2	imojgdfighudfghuidfuhiguhdfgzhdfhzghiudfguhi	ijfdgjofdjiogofjdigijofdjiogfdjigiojifdgjiodfgijodjoifgjiodfoig
Cutscene_Character_Dialog_Tester_3	dokgodfgkodfokgkodfgokdfpkgodopgkpodgkpo	jmigjidfijgdfjiogjidfgjiodfojigojidgoijidofjg
Cutscene_Character_Dialog_Tester_4	imojgdfighudfghuidfuhiguhdfgzhdfhzghiudfguhi	ijfdgjofdjiogofjdigijofdjiogfdjigiojifdgjiodfgijodjoifgjiodfoig
Cutscene_Character_Dialog_Tester_5	Question?{? "answer": ans, "...?": quiet}	Otázka?{? "odpověď": ans, "...?": quiet}
Cutscene_Character_Dialog_Tester_ans_1	You answered the question.	Zodpověděl jsi na otázku.
Cutscene_Character_Dialog_Tester_ans_2	Answer Text 2	Answer Text 2
Cutscene_Character_Dialog_Tester_quiet_1	You were quiet.	Zůstal jsi potichu.
Cutscene_Character_Dialog_Tester_quiet_2	Quiet Text 2{|test}{|converge}	Quiet Text 2{|test}{|converge}
Cutscene_Character_Dialog_Tester_converge_1	Convergence Text	Convergence Text
