Localization Keys	english	czech
legend_panel4_smurfcat	and Smurf Cat would devastate the land.	a Smurf Cat by devastoval krajinu.
legend_panel4_rotten	Now with only it's rotten roots...	Nyní s hnijícími kořeny...
legend_panel4_lastdays	would the nation see it's last days.	by národ zažil jeho poslední dny.
legend_panel5_religion	But thanks to their beliefs...	Ale díky jejich víře...
legend_panel5_god	would three Treeists appear on the side of god.	se tři Stromovci objevili na straně boha.
legend_characters_rabbitek	ONE WANTED TO BE A POLITICIAN	JEDEN CHTĚL BÝT POLITIK
legend_characters_xdaforge	THE OTHER ONE A POLICEMAN	DRUHÝ ZAS POLICISTA
legend_characters_gertofin	AND THE THIRD JUST WANTED TO BE RICH	A TŘETÍ CHTĚL BÝT PROSTĚ BOHATEJ
legend_panel6_treefall	Only they can prevent the Tree's fall	Jen oni mohou zabránit Stromovskému pádu
legend_panel6_balance	and keep their nation from destruction.	a udržet národ v rovnováze.
legend_panel6_treegrow	Only then can WMT grow again	Jen poté může WMT znovu růst
legend_panel6_revolution	and the world spared from complete annihilation.	a svět může být zachráněn od krutosti revolucionářů.
legend_panel7_mayor	Last week Honzraj:\nmayor of Larchgrad	Minulý týden Honzraj: starosta Modřína,
legend_panel7_punishment	presented a lenient offer for the Smurf Cats.	navrhl mírnější trest pro Smurf Caty.
legend_panel7_lost	Offer to improve their releations after the wars...	Ti prohráli války, které začaly kvůli jejich víře.
legend_panel8_fired	However, he was accused of treason and lost his title.	Poté co tak řekl, byl obviněn z velezrady a ztratil svůj titul.
choosecharacter_notice_pressenter	(to continue reading, press ENTER)	(pokud chceš číst dál, zmáčkni enter)
choosecharacter_notice_moveleaf	(move with arrows on your keyboard, then confirm with ENTER)	(pohybuj se pomocí šipek na klávesnici, potvrď s enter)
choosecharacter_prechoose_gift	Here's my gift.	Zde je můj dar.
choosecharacter_prechoose_changeworld	With it you can undoubtably change my world.	Díky němu můžeš měnit tento svět.
choosecharacter_prechoose_nochance	Because you need a body for your leaf,{0.5} choose it.	Protože bez těla nemáš šanci přežít{0.5}, nějaké si vyber.
choosecharacter_choose_name	How should they call you?	Napiš, jak ti budou říkat.
choosecharacter_name_treeist	NAME THE PROPHET	POJMENUJ STROMOVCE
choosecharacter_namereaction_canonname	What a coincidence...	Zajímavá náhoda...
choosecharacter_namereaction_confusing	That could be confusing! (press enter again)	To by bylo matoucí! (stiskni znovu enter)
choosecharacter_namereaction_programmer	Your the being that built the logic of this world?	Ty píšeš kód, který tvoří tento svět?
choosecharacter_namereaction_god	You shall not speak of my name! (press enter again)	Mé jméno nosit nebudeš! (stiskni znovu enter)
choosecharacter_namereaction_novisiblesymbols	What name I don't see anything! (press enter again)	Jméno musí být vidět! (stiskni znovu enter)
choosecharacter_namereaction_brackets	Prohibited characters detected! (press enter again)	Bez hr. a sl. závorek! (stiskni znovu enter)
choosecharacter_postchoose_sayname	{name}...	{name}...
choosecharacter_postchoose_onemorething	There's just one more thing...	Ještě nám zbývá jedna věc...
choosecharacter_postchoose_givebook	This sacred book is neccessary for my gift.	Tato posvátná kniha je nezbytná k mému daru.
choosecharacter_finish_goodbad	I don't care if it's used for good or evil...	Jestli jej využiješ k dobru či zlu, je mi jedno.
choosecharacter_finish_terror	I only want you to banish the Smurf Cat terror...	Chci jen, aby ses zbavil Smurf Catského teroru...
choosecharacter_finish_religion	and the spread of their lies.	a šíření jejich víry.
choosecharacter_finish_prepared	...looks like everything's ready.	...vypadá to, že už máme všechno připravené.
choosecharacter_finish_goodluck	Good luck!	Hodně štěstí!
errorhandler_room_title	SOMETHING MESSED UP	NĚCO SE POKAZILO
errorhandler_room_description	Room ID {roomID} ({extraInfo})	Room ID {roomID} ({extraInfo})
errorhandler_extrainfo_savecorrupted	corrupted json savefile	nesprávně zapsaný json
errorhandler_extrainfo_onload	upon load	při načtení
SpawnObject_SPAWNROOM_outofinteract	Here lies the beginning of a great journey...{0.5} nothing else to note.	Lze je začátek tvé cesty...{0.5} není to jinak ničím zajímavé...
Mushroom_SPAWNROOM_1_1	You curiously look at a mushroom emitting blue light...	Pozoruhodně hledíš na houbu vydávací modré světlo...
Mushroom_SPAWNROOM_1_2	You feel as if...{0.5} you have some kind of connection with it...{0.5} but you don't know why.	Máš pocit, že něco o ní cítíš...{0.5} že ti je povědomá...{0.5} ale nevíš proč.
Mushroom_SPAWNROOM_2_1	You could finally decide...	Mohl by jsi se rozhodnout...
PurpleTree_SPAWNROOM_1_1	The tree's observing the sorrounding area...	Purpurový strom hledí bezcitně na okolní krajinu...
PurpleTree_SPAWNROOM_1_2	You felt as if you shouldn't interupt it...	Tvou mysl naplnili moudré myšlenky...
PurpleTree_SPAWNROOM_outofinteract	The tree doesn't have any time to spare...	Strom nemá čas si s tebou povídat...
BlockTree_SPAWNROOM_1_1	It blocks you a way to something...{0.5} glowing?	Vypadá to, že tento strom ti blokuje cestu k něčemu co modře září...
BlockTree_SPAWNROOM_1_2	You have a feeling there's a way to get to the other side.	Možná by jsi ho mohl nějak obejít?
BlockTree_SPAWNROOM_NoLight_1_1	The tree blocked some path...{0.5} but there's no point in going back there.	Tenhle strom blokoval nějakou cestu...{0.5} ale ty už jsi život od ní vzal...
InteractionPrompt_SPAWNROOM_1_1	(Reminder to press {#2f8026}ENTER či Z{#/} if you see something {#00c9ca}interesting{#/}.{0.5} You may find something of interest.)	(Nezapoměň, že když uvidíš něco {#00c9ca}zajímavého{#/}, můžeš se k tomu přiblížit a zmáčknout {#2f8026}ENTER či Z{#/}.{0.5} Můžeš potom zjisit něco nového.)
Pedestal_SPAWN_ENTERANCE_1_1	It's some kind of stone object.{0.5} You look closer and see some text written on it.	Je to nějaký posvátný kamenný objekt.{0.5} Podíváš se na něj pozorněji a vidíš, že je na něm něco napsáno.
Pedestal_SPAWN_ENTERANCE_1_2	Do you want to read what is written on there?	Chceš si přečíst co se tam píše?
Pedestal_SPAWN_ENTERANCE_outofinteract	You see that there's something written there. Read it?	Vidíš, že je tam něco napsáno.{0.5} Chceš si to přečíst?
PedestalText_intro	{name}	{name}
PedestalText_xdaforge_1	\"Quiet shield of the Treeist nation,{0.5} which can stop the destruction of the Holy confederacy...	\"Tichý štít Stromovského národa,{0.5} jenž dokáže zastavit absolutní zničení Svaté konfederace...
PedestalText_xdaforge_2	Sharp weapon of the nation,{0.5} which can defeat it's enemy, even if everything seems to be lost.	Ostrá zbraň Stromovského národa,{0.5} která dokáže porazit nepřítele, i když se zdá, že je vše ztraceno...
PedestalText_rabbitek_1	\"Holy voice of the Treeist nation,{0.5} which can unite the people against their enemies...	\"Svatý hlas Stromovského národa,{0.5} který dokáže spojit všechen lid proti nepříteli...
PedestalText_rabbitek_2	The root of the nation,{0.5} which can return stability even in the worst of times...	Živý kořen Stromovského národa,{0.5} jenž dokáže vrátit stabilitu národa v nejhorším...
PedestalText_gertofin_1	\"Helpful hand of the Treeist nation,{0.5} which can finance the most important of operations...	\"Pomocná ruka Stromovského národa,{0.5} která dokáže financovat záchranné operace...
PedestalText_gertofin_2	A hidden eye of the nation,{0.5} which controls the nation like a puppetmaster.	Skryté oko Stromovského národa,{0.5} které se svémi strunami chrání stát...
PedestalText_end	He gets summoned, once the blue terror is ignited...{0.3} when another war begins to bubble.	Přijde jen tehdy, když ho moudrý strom vyvolá...{0.75} až vzplane Modrý teror...{0.3} až začne další válka...\"
Leaves_SPAWN_ENTERANCE_outofinteract	It's just a regular pile of leaves...	Je to jen nějaká běžná hromada listí...
TeleportTree_SPAWN_TELEPORT_1_1	There's something you must get first, before knowing this tree's true nature...	Vypadá to, že něco budeš muset získat, než tento strom doopravdy pochopíš...
TeleportTree_SPAWN_TELEPORT_outofinteract	You don't feel like 'you',{0.5} when around this tree.	Jsi 'nesvůj' když chodíš okolo tohoto...{0.5} 'stromu'.
BrokenSign_SPAWN_ENTERANCE_1_1	It's some kind of navigational sign...{0.5} there's an arrow pointing to somewhere...	Je to nějaká navigační cedule... {0.5}dole je vyzobrazená šipka směřující k něčemu podivuhodnému...
BrokenSign_SPAWN_ENTERANCE_1_2	There's a feeling that you shouldn't go down there...	Z nějakého důvodu si nemyslíš, že je dobrý nápad tam dolů jít...
BrokenSign_SPAWN_ENTERANCE_2_1	...but maybe something in you clashes with that feeling...	...tvá zvědavost ale nesouhlasí...
